GEOID,NAME,B19058_002E
51001,"Accomack County, Virginia",1637
51003,"Albemarle County, Virginia",1688
51005,"Alleghany County, Virginia",670
51007,"Amelia County, Virginia",577
51009,"Amherst County, Virginia",1421
51011,"Appomattox County, Virginia",878
51013,"Arlington County, Virginia",3309
51015,"Augusta County, Virginia",2070
51017,"Bath County, Virginia",116
51019,"Bedford County, Virginia",2146
51021,"Bland County, Virginia",192
51023,"Botetourt County, Virginia",466
51025,"Brunswick County, Virginia",1389
51027,"Buchanan County, Virginia",1441
51029,"Buckingham County, Virginia",1008
51031,"Campbell County, Virginia",2402
51033,"Caroline County, Virginia",1081
51035,"Carroll County, Virginia",1540
51036,"Charles City County, Virginia",394
51037,"Charlotte County, Virginia",958
51041,"Chesterfield County, Virginia",8399
51043,"Clarke County, Virginia",184
51045,"Craig County, Virginia",250
51047,"Culpeper County, Virginia",1662
51049,"Cumberland County, Virginia",669
51051,"Dickenson County, Virginia",1259
51053,"Dinwiddie County, Virginia",1419
51057,"Essex County, Virginia",751
51059,"Fairfax County, Virginia",19941
51061,"Fauquier County, Virginia",1224
51063,"Floyd County, Virginia",436
51065,"Fluvanna County, Virginia",286
51067,"Franklin County, Virginia",2306
51069,"Frederick County, Virginia",1926
51071,"Giles County, Virginia",504
51073,"Gloucester County, Virginia",1149
51075,"Goochland County, Virginia",558
51077,"Grayson County, Virginia",870
51079,"Greene County, Virginia",810
51081,"Greensville County, Virginia",436
51083,"Halifax County, Virginia",2321
51085,"Hanover County, Virginia",1894
51087,"Henrico County, Virginia",10586
51089,"Henry County, Virginia",3286
51091,"Highland County, Virginia",41
51093,"Isle of Wight County, Virginia",1341
51095,"James City County, Virginia",1531
51097,"King and Queen County, Virginia",242
51099,"King George County, Virginia",715
51101,"King William County, Virginia",542
51103,"Lancaster County, Virginia",519
51105,"Lee County, Virginia",2161
51107,"Loudoun County, Virginia",5093
51109,"Louisa County, Virginia",1158
51111,"Lunenburg County, Virginia",745
51113,"Madison County, Virginia",437
51115,"Mathews County, Virginia",238
51117,"Mecklenburg County, Virginia",1722
51119,"Middlesex County, Virginia",593
51121,"Montgomery County, Virginia",1879
51125,"Nelson County, Virginia",888
51127,"New Kent County, Virginia",411
51131,"Northampton County, Virginia",736
51133,"Northumberland County, Virginia",413
51135,"Nottoway County, Virginia",785
51137,"Orange County, Virginia",912
51139,"Page County, Virginia",1127
51141,"Patrick County, Virginia",821
51143,"Pittsylvania County, Virginia",3510
51145,"Powhatan County, Virginia",369
51147,"Prince Edward County, Virginia",1329
51149,"Prince George County, Virginia",1403
51153,"Prince William County, Virginia",7945
51155,"Pulaski County, Virginia",1804
51157,"Rappahannock County, Virginia",206
51159,"Richmond County, Virginia",374
51161,"Roanoke County, Virginia",2460
51163,"Rockbridge County, Virginia",1007
51165,"Rockingham County, Virginia",1506
51167,"Russell County, Virginia",1742
51169,"Scott County, Virginia",1507
51171,"Shenandoah County, Virginia",1865
51173,"Smyth County, Virginia",2077
51175,"Southampton County, Virginia",852
51177,"Spotsylvania County, Virginia",3321
51179,"Stafford County, Virginia",2206
51181,"Surry County, Virginia",344
51183,"Sussex County, Virginia",585
51185,"Tazewell County, Virginia",2166
51187,"Warren County, Virginia",1270
51191,"Washington County, Virginia",2625
51193,"Westmoreland County, Virginia",1427
51195,"Wise County, Virginia",3104
51197,"Wythe County, Virginia",1276
51199,"York County, Virginia",886
51510,"Alexandria city, Virginia",4316
51520,"Bristol city, Virginia",1358
51530,"Buena Vista city, Virginia",374
51540,"Charlottesville city, Virginia",1977
51550,"Chesapeake city, Virginia",6676
51570,"Colonial Heights city, Virginia",897
51580,"Covington city, Virginia",310
51590,"Danville city, Virginia",4365
51595,"Emporia city, Virginia",738
51600,"Fairfax city, Virginia",300
51610,"Falls Church city, Virginia",134
51620,"Franklin city, Virginia",771
51630,"Fredericksburg city, Virginia",1198
51640,"Galax city, Virginia",381
51650,"Hampton city, Virginia",7764
51660,"Harrisonburg city, Virginia",2156
51670,"Hopewell city, Virginia",2237
51678,"Lexington city, Virginia",283
51680,"Lynchburg city, Virginia",4177
51683,"Manassas city, Virginia",1098
51685,"Manassas Park city, Virginia",591
51690,"Martinsville city, Virginia",1141
51700,"Newport News city, Virginia",10328
51710,"Norfolk city, Virginia",14966
51720,"Norton city, Virginia",435
51730,"Petersburg city, Virginia",3453
51735,"Poquoson city, Virginia",56
51740,"Portsmouth city, Virginia",6259
51750,"Radford city, Virginia",597
51760,"Richmond city, Virginia",15054
51770,"Roanoke city, Virginia",7703
51775,"Salem city, Virginia",775
51790,"Staunton city, Virginia",1359
51800,"Suffolk city, Virginia",4058
51810,"Virginia Beach city, Virginia",11310
51820,"Waynesboro city, Virginia",1585
51830,"Williamsburg city, Virginia",357
51840,"Winchester city, Virginia",1162
